sabe_democracia,confia_congreso,confia_partidos,importa_democracia,funciona_democ,dept
0.28333333,0.075621888,0.047576301,0.84950137,0.43556443,AMAZONAS
0.34495509,0.036542922,0.022994952,0.86462396,0.42380953,ANCASH
0.23157895,0.00811908,0.01303781,0.90674847,0.64092666,APURIMAC
0.5391705,0.034858387,0.02905464,0.72843307,0.28762197,AREQUIPA
0.23273657,0.043419268,0.020631067,0.85667396,0.49561954,AYACUCHO
0.29379687,0.074794315,0.054015636,0.85830861,0.45777428,CAJAMARCA
0.56266665,0.012987013,0.012961117,0.3083083,0.29131654,CALLAO
0.35574669,0.009779952,0.014010508,0.73427153,0.24890447,CUSCO
0.18032786,0.08456973,0.080054276,0.83808094,0.43593749,HUANCAVELICA
0.33229086,0.055311676,0.048616931,0.79947692,0.44567218,HUANUCO
0.58524358,0.043365695,0.047341116,0.78309304,0.28029197,ICA
0.39052495,0.031556804,0.02073255,0.8134228,0.449415,JUNIN
0.40487063,0.064182192,0.036709722,0.71980679,0.38314509,LA LIBERTAD
0.4953917,0.043478262,0.03611898,0.78969955,0.33252817,LAMBAYEQUE
0.55269057,0.017571526,0.013726372,0.33303291,0.28340325,LIMA
0.43902439,0.096706375,0.051175658,0.79140681,0.56633812,LORETO
0.49878642,0.043897215,0.01997897,0.6932773,0.31047866,MADRE DE DIOS
0.54880953,0.035343036,0.020898642,0.72811532,0.38089171,MOQUEGUA
0.36941177,0.062754683,0.033466134,0.83266616,0.35809684,PASCO
0.34903225,0.081789136,0.06273526,0.80653268,0.45637119,PIURA
0.34098941,0.024265645,0.020702634,0.77261615,0.35173389,PUNO
0.45074627,0.067656763,0.05111821,0.85556501,0.42679679,SAN MARTIN
0.58461541,0.023134328,0.015636634,0.6274057,0.28046218,TACNA
0.43065694,0.070175439,0.024475524,0.78025854,0.3115578,TUMBES
0.51999998,0.096539162,0.062727273,0.77717394,0.45105568,UCAYALI
